10 3879
1150 surely 5
1151 mccabe 1
1152 visiting 2
1153 indicates 1
1154 replace 2
1155 plays 2
1156 punished 2
1157 saving 3
1158 statue 2
1159 today's 4
1160 classified 4
1161 that's 15
1162 advanced 1
1163 behaviour 1
1164 likely 6
1165 gender 2
1166 assessment 5
1167 differences 5
1168 necessary 7
1169 best 14
1170 documented 2
1171 guys 1
1172 passengers 1
1173 wonderful 7
1174 showed 3
1175 worry 2
1176 distract 1
1177 different 16
1178 its 13
1179 unemployment 3
1180 customers 1
1181 south 5
1182 ends 2
1183 closing 2
1184 aware 2
1185 wisdom 1
1186 gop 13
1187 obviously 3
1188 across 6
1189 mothers 2
1190 nearly 6
1191 several 1
1192 immediate 2
1193 date 1
1194 chief 7
1195 kushner 4
1196 end 8
1197 which 41
1198 market 7
1199 paying 8
1200 meaningful 4
1201 terrorist 3
1202 terrorists 3
1203 complicit 3
1204 useless 2
1205 works 5
1206 we've 6
1207 pollution 3
1208 done 8
1209 kellyanne 2
1210 highest 3
1211 lifelong 2
1212 mean 9
1213 diplomatic 4
1214 admitting 2
1215 newspaper 3
1216 inequality 4
1217 too 14
1218 recommended 2
1219 whole 3
1220 suggest 7
1221 only 32
1222 biological 2
1223 generous 1
1224 illness 4
1225 automatic 2
1226 persons 4
1227 occasionally 1
1228 appreciated 1
1229 haven't 4
1230 applaud 1
1231 failures 2
1232 told 5
1233 tech 2
1234 workers 13
1235 men 12
1236 base 4
1237 stress 1
1238 attitude 1
1239 wait 4
1240 witness 1
1241 satisfied 1
1242 we're 3
1243 opportunity 2
1244 writing 9
1245 places 3
1246 creatures 2
1247 positions 6
1248 depressing 1
1249 horrible 4
1250 written 10
1251 words 8
1252 among 6
1253 method 1
1254 peaceful 1
1255 want 15
1256 knowing 2
1257 someone 28
1258 deny 1
1259 column 10
1260 energy 4
1261 societies 4
1262 protests 1
1263 cnn 1
1264 higher 5
1265 each 7
1266 points 7
1267 hearing 5
1268 refused 1
1269 constitution 14
1270 tariffs 4
1271 hillary 15
1272 went 3
1273 everything 20
1274 autocratic 1
1275 challenged 4
1276 propaganda 3
1277 millennial 1
1278 everyone 17
1279 plans 3
1280 establishment 4
1281 enforce 3
1282 dignity 3
1283 british 3
1284 previous 1
1285 killing 3
1286 club 1
1287 destructive 4
1288 rifles 1
1289 finally 15
1290 additional 1
